surface,id,capability,scope,headless_mapping,coverage,decision,remains_in_adtk,upstream_value,credit_path,priority,effort,evidence,constraint,next_validation,source
ADTK action,user-enable,user-enable {login},Agent capability,update_user(enabled=true),Primitive overlap,Wrap upstream primitive,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,Admin-only; check identity-source behavior,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,user-update,"user-update {login, email?, displayName?, userProfile?} (at least one field; fixes missing/wrong owner emails and right-sizes license profiles, e.g. DESIGNER → EXPLORER)",Agent capability,update_user,Partial,Wrap upstream primitive,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Supported fields and identity-source constraints may differ,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,api-key-delete,"api-key-delete {keyType: personal|global, keyId} (IRREVERSIBLE)",Agent capability,None exposed,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,No matching direct operation in the inspected catalog,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,tmp-cleanup,"tmp-cleanup {minAgeDays?, maxDeleteGB?}",Agent capability,None exposed,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Managed-host cleanup needs macros, bounded targets and deletion evidence","Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,exports-cleanup,"exports-cleanup {minAgeDays?, maxDeleteGB?}",Agent capability,None exposed,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Managed-host cleanup needs macros, bounded targets and deletion evidence","Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,job-logs-cleanup,"job-logs-cleanup {projectKey?, minAgeDays?, maxDeleteGB?}",Agent capability,None exposed,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Managed-host cleanup needs macros, bounded targets and deletion evidence","Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,dataset-clear,"dataset-clear {projectKey, datasetName, ackExposed?} (IRREVERSIBLE; exposed datasets refused without ack)",Agent capability,None exposed,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,No matching direct operation in the inspected catalog,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,dataset-delete,"dataset-delete {projectKey, datasetName, dropData?, ackExposed?, ackReferenced?} (IRREVERSIBLE; definition backed up, DATA is not; exposed or still-referenced datasets refused without acks)",Agent capability,Cobuild deletion workflow,Cobuild candidate,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Existing deletion confirmation is not ADTK backup/token protocol,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,db-reindex,"db-reindex {connection, table}",Agent capability,None exposed,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Runtime database maintenance needs the target database executor and policy,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,notification-send,"notification-send {channelId, message, subject?, recipients[]?} (mail channels need recipients[]; slack/teams/webhook/chat channels deliver to their configured destination)",Agent capability,list_messaging_channels is discovery only,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,No direct send tool; channels listing does not send,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,toolkit-scenario-write,"toolkit-scenario-write {name, scenarioId?, steps[]?, dailyTriggerHour?, active?, ackCustomCode?} (create or rewrite a scenario in the ADMINTOOLKIT project ONLY; code-bearing steps — custom_python, exec_sql, non-toolkit macros, any script/sql/code payload — require ackCustomCode after the user reviews the code; operate scenarios with the scenario-run/kill/enable/disable actions)",Agent capability,Cobuild can author scenarios in general,Cobuild candidate,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Toolkit specific,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Toolkit-owned scenario allowlist and exact template validation remain,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,python-run,"python-run {code, purpose} (POWER-UP: agent-authored Python, LAST resort when no catalogued action or sensor covers the task; runs local-only with admin credentials; token is sha-bound to the exact code and single-use; EVERY run needs the user's explicit per-run code acknowledgment)",Agent capability,Project-library writes and Cobuild code authoring are adjacent,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,No compatible bounded host Python runner or approved exact-code execution,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
Headless MCP tool,abort_job,Abort Job — Job-level troubleshooting and verified execution,Agent capability,action:job-kill,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/jobs.py
Headless MCP tool,answer_cobuild_confirmation,Answer Cobuild Deletion Confirmation — Delegate inference and project authoring to Cobuild,Agent capability,No dedicated current ADTK agent tool; delegate inference and project authoring to cobuild,New capability,Pilot Cobuild path,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,Cobuild inference on start/send/answer; status/list do not initiate inference,P0,Large,Source inspected; not exercised live,No exposed ADTK tool invocation or cancel tool; retained state is process-local; no generic completion endpoint,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/cobuild.py
Headless MCP tool,answer_cobuild_question,Answer Cobuild Question — Delegate inference and project authoring to Cobuild,Agent capability,No dedicated current ADTK agent tool; delegate inference and project authoring to cobuild,New capability,Pilot Cobuild path,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,Cobuild inference on start/send/answer; status/list do not initiate inference,P0,Large,Source inspected; not exercised live,No exposed ADTK tool invocation or cancel tool; retained state is process-local; no generic completion endpoint,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/cobuild.py
Headless MCP tool,build_datasets,Build Datasets — Job-level troubleshooting and verified execution,Agent capability,No dedicated current ADTK agent tool; job-level troubleshooting and verified execution,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/jobs.py
Headless MCP tool,configure_instance,Configure Dataiku Instance — Local MCP connection profiles,Agent capability,No dedicated current ADTK agent tool; local mcp connection profiles,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Local profiles do not replace host/identity isolation or ADTK fleet registry,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/instances.py
Headless MCP tool,count_projects,Count Projects — Project discovery and selected settings writes,Agent capability,config domain:projects,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/projects.py
Headless MCP tool,create_code_env,Create Code Environment — Environment inventory and constrained lifecycle,Agent capability,No dedicated current ADTK agent tool; environment inventory and constrained lifecycle,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/code_environments.py
Headless MCP tool,create_group,Create Group — Group inventory and access administration,Agent capability,No dedicated current ADTK agent tool; group inventory and access administration,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/groups.py
Headless MCP tool,create_managed_folder,Create Managed Folder — Inspect file dependencies; publish bounded diagnostic artifacts,Agent capability,No dedicated current ADTK agent tool; inspect file dependencies; publish bounded diagnostic artifacts,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/managed_folders.py
Headless MCP tool,create_project,Create Project — Project discovery and selected settings writes,Agent capability,No dedicated current ADTK agent tool; project discovery and selected settings writes,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/projects.py
Headless MCP tool,create_project_folder,Create Project Folder — Project organization and governance,Agent capability,No dedicated current ADTK agent tool; project organization and governance,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/project_folders.py
Headless MCP tool,create_upload_dataset,"Create Uploaded Files Dataset — Ground incidents with schema, metrics and bounded samples",Agent capability,"No dedicated current ADTK agent tool; ground incidents with schema, metrics and bounded samples",New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/datasets.py
Headless MCP tool,create_user,Create User — Account inventory and controlled administration,Agent capability,No dedicated current ADTK agent tool; account inventory and controlled administration,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/users.py
Headless MCP tool,delete_code_env,Delete Code Environment — Environment inventory and constrained lifecycle,Agent capability,action:code-env-delete,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/code_environments.py
Headless MCP tool,delete_group,Delete Group — Group inventory and access administration,Agent capability,No dedicated current ADTK agent tool; group inventory and access administration,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/groups.py
Headless MCP tool,delete_instance,Delete Dataiku Instance — Local MCP connection profiles,Agent capability,No dedicated current ADTK agent tool; local mcp connection profiles,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Local profiles do not replace host/identity isolation or ADTK fleet registry,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/instances.py
Headless MCP tool,delete_plugin,"Delete Plugin — Plugin inventory, usages and lifecycle",Agent capability,action:plugin-uninstall,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/plugins.py
Headless MCP tool,delete_project_folder,Delete Project Folder — Project organization and governance,Agent capability,No dedicated current ADTK agent tool; project organization and governance,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/project_folders.py
Headless MCP tool,delete_user,Delete User — Account inventory and controlled administration,Agent capability,No dedicated current ADTK agent tool; account inventory and controlled administration,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/users.py
Headless MCP tool,export_dataset,"Export Dataset to CSV — Ground incidents with schema, metrics and bounded samples",Agent capability,"No dedicated current ADTK agent tool; ground incidents with schema, metrics and bounded samples",New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,Keep ADTK approval/audit around writes or executions; actual scope follows tool schema; bound and redact data entering inference,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/datasets.py
Headless MCP tool,get_agent_review,Get Agent Review — Agent regression checks and review results,Agent capability,No dedicated current ADTK agent tool; agent regression checks and review results,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agent_reviews.py
Headless MCP tool,get_agent_review_run_results,Get Agent Review Run Results — Agent regression checks and review results,Agent capability,No dedicated current ADTK agent tool; agent regression checks and review results,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agent_reviews.py
Headless MCP tool,get_agent_settings,Get Agent Settings — Inspect/provisioned-agent configuration and tools,Agent capability,No dedicated current ADTK agent tool; inspect/provisioned-agent configuration and tools,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P0,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agents.py
Headless MCP tool,get_agent_tool_settings,Get Agent Tool Settings — Inspect/provisioned-agent configuration and tools,Agent capability,No dedicated current ADTK agent tool; inspect/provisioned-agent configuration and tools,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P0,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/agents.py
Headless MCP tool,get_cobuild_turn_status,Get Cobuild Turn Status — Delegate inference and project authoring to Cobuild,Agent capability,No dedicated current ADTK agent tool; delegate inference and project authoring to cobuild,New capability,Pilot Cobuild path,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,Cobuild inference on start/send/answer; status/list do not initiate inference,P0,Large,Live TAM read/create/status tests; execution path stalled; debit not measured,No exposed ADTK tool invocation or cancel tool; retained state is process-local; no generic completion endpoint,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/cobuild.py
Headless MCP tool,get_connection_info,Get Connection Info — Connection inspection and testing,Agent capability,config domain:connections; curated read:db-health-connections; curated read:connections-audit; action:connection-update,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/connections.py
Headless MCP tool,get_current_instance,Get Current Instance — Local MCP connection profiles,Agent capability,tool:list_hosts,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Live read succeeded; see evidence JSON (admin and/or non-admin scope differs),Local profiles do not replace host/identity isolation or ADTK fleet registry,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/instances.py
Headless MCP tool,get_dashboard_settings,Get Dashboard Settings — Inspect downstream presentation dependencies,Agent capability,No dedicated current ADTK agent tool; inspect downstream presentation dependencies,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P2,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/dashboards.py
Headless MCP tool,get_data_quality_rule,Get Data Quality Rule — Add data-quality incidents to operational triage,Agent capability,No dedicated current ADTK agent tool; add data-quality incidents to operational triage,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/data_quality.py
Headless MCP tool,get_data_quality_rule_history,Get Data Quality Rule History — Add data-quality incidents to operational triage,Agent capability,No dedicated current ADTK agent tool; add data-quality incidents to operational triage,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/data_quality.py
Headless MCP tool,get_data_quality_rule_results,Get Data Quality Rule Results — Add data-quality incidents to operational triage,Agent capability,No dedicated current ADTK agent tool; add data-quality incidents to operational triage,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/data_quality.py
Headless MCP tool,get_data_quality_status,Get Data Quality Status — Add data-quality incidents to operational triage,Agent capability,No dedicated current ADTK agent tool; add data-quality incidents to operational triage,New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/data_quality.py
Headless MCP tool,get_dataset_column_descriptions,"Get Dataset Column Descriptions — Ground incidents with schema, metrics and bounded samples",Agent capability,"No dedicated current ADTK agent tool; ground incidents with schema, metrics and bounded samples",New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/datasets.py
Headless MCP tool,get_dataset_info,"Get Dataset Info — Ground incidents with schema, metrics and bounded samples",Agent capability,config domain:datasets,Partial overlap,Reuse with adapter,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/datasets.py
Headless MCP tool,get_dataset_metrics,"Get Dataset Metrics — Ground incidents with schema, metrics and bounded samples",Agent capability,"No dedicated current ADTK agent tool; ground incidents with schema, metrics and bounded samples",New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/datasets.py
Headless MCP tool,get_dataset_profile,"Profile Dataset Columns — Ground incidents with schema, metrics and bounded samples",Agent capability,"No dedicated current ADTK agent tool; ground incidents with schema, metrics and bounded samples",New capability,Add selectively,"ADTK host/identity adapter, schemas, output limits, lifecycle and policy controls",Already upstream,No Cobuild inference guaranteed by this tool,P1,Medium,Source inspected; not exercised live,DSS permissions and object-level output parity must be checked,Prove useful task outcome under intended customer identity; verify usage separately for Cobuild,https://github.com/dataiku/dataiku-headless/blob/9d7f6cc29a9406f347708c8811b5689ab257c6c8/dataiku_mcp/tools/datasets.py
